"month" "course" "x"
"1" "2014-02-01" "ex" 2
"2" "2014-05-01" "ex" 3043
"3" "2014-06-01" "ex" 1744
"4" "2014-07-01" "ex" 1994
"5" "2014-08-01" "ex" 1642
"6" "2014-09-01" "ex" 1616
"7" "2014-10-01" "ex" 1442
"8" "2014-11-01" "ex" 1419
"9" "2014-12-01" "ex" 1252
"10" "2015-01-01" "ex" 1880
"11" "2015-02-01" "ex" 1912
"12" "2015-03-01" "ex" 1916
"13" "2015-04-01" "ex" 1982
"14" "2015-05-01" "ex" 1798
"15" "2015-06-01" "ex" 1715
"16" "2015-07-01" "ex" 1736
"17" "2015-08-01" "ex" 1666
"18" "2015-09-01" "ex" 1599
"19" "2015-10-01" "ex" 1356
"20" "2015-11-01" "ex" 1159
"21" "2015-12-01" "ex" 1079
"22" "2016-01-01" "ex" 1416
"23" "2014-02-01" "repl" 1
"24" "2014-05-01" "repl" 1489
"25" "2014-06-01" "repl" 1054
"26" "2014-07-01" "repl" 1028
"27" "2014-08-01" "repl" 1040
"28" "2014-09-01" "repl" 984
"29" "2014-10-01" "repl" 856
"30" "2014-11-01" "repl" 816
"31" "2014-12-01" "repl" 936
"32" "2015-01-01" "repl" 1041
"33" "2015-02-01" "repl" 1068
"34" "2015-03-01" "repl" 1069
"35" "2015-04-01" "repl" 1123
"36" "2015-05-01" "repl" 1322
"37" "2015-06-01" "repl" 1082
"38" "2015-07-01" "repl" 1021
"39" "2015-08-01" "repl" 990
"40" "2015-09-01" "repl" 1080
"41" "2015-10-01" "repl" 1018
"42" "2015-11-01" "repl" 918
"43" "2015-12-01" "repl" 702
"44" "2016-01-01" "repl" 922
"45" "2014-01-01" "rprogr" 2
"46" "2014-02-01" "rprogr" 1
"47" "2014-04-01" "rprogr" 4658
"48" "2014-05-01" "rprogr" 4468
"49" "2014-06-01" "rprogr" 4120
"50" "2014-07-01" "rprogr" 4269
"51" "2014-08-01" "rprogr" 3779
"52" "2014-09-01" "rprogr" 3360
"53" "2014-10-01" "rprogr" 2827
"54" "2014-11-01" "rprogr" 3069
"55" "2014-12-01" "rprogr" 3688
"56" "2015-01-01" "rprogr" 5391
"57" "2015-02-01" "rprogr" 4595
"58" "2015-03-01" "rprogr" 4046
"59" "2015-04-01" "rprogr" 4055
"60" "2015-05-01" "rprogr" 4192
"61" "2015-06-01" "rprogr" 4132
"62" "2015-07-01" "rprogr" 4616
"63" "2015-08-01" "rprogr" 3316
"64" "2015-09-01" "rprogr" 3344
"65" "2015-10-01" "rprogr" 2845
"66" "2015-11-01" "rprogr" 2283
"67" "2015-12-01" "rprogr" 2302
"68" "2016-01-01" "rprogr" 2412
"69" "2013-11-01" "tools" 27
"70" "2013-12-01" "tools" 2
"71" "2014-01-01" "tools" 7
"72" "2014-02-01" "tools" 3
"73" "2014-03-01" "tools" 3
"74" "2014-04-01" "tools" 11239
"75" "2014-05-01" "tools" 6654
"76" "2014-06-01" "tools" 8386
"77" "2014-07-01" "tools" 7297
"78" "2014-08-01" "tools" 5916
"79" "2014-09-01" "tools" 5776
"80" "2014-10-01" "tools" 5400
"81" "2014-11-01" "tools" 5588
"82" "2014-12-01" "tools" 7516
"83" "2015-01-01" "tools" 10777
"84" "2015-02-01" "tools" 7318
"85" "2015-03-01" "tools" 6876
"86" "2015-04-01" "tools" 7392
"87" "2015-05-01" "tools" 6802
"88" "2015-06-01" "tools" 7754
"89" "2015-07-01" "tools" 7520
"90" "2015-08-01" "tools" 5297
"91" "2015-09-01" "tools" 5437
"92" "2015-10-01" "tools" 3574
"93" "2015-11-01" "tools" 3649
"94" "2015-12-01" "tools" 3501
"95" "2016-01-01" "tools" 2707
